n,gamma,k,seed,model,supportSize,exactValue,algValue,ratio,gap,theoryBound,exactTime,algTime
10,0.2,2,1,CR-SHP,21,188.861802926402,188.861802926402,1,0,0.5,0.046098,0.0197899
10,0.2,2,1,CVaR-CR-SHP,1,157.549239342862,157.549239342862,1,0,0.5,0.0123116,0.0041475
10,0.2,2,2,CR-SHP,21,176.07980996892,176.07980996892,1,0,0.5,0.0072441,0.0027433
10,0.2,2,2,CVaR-CR-SHP,1,154.050913066379,154.050913066379,1,0,0.5,0.006699,0.0003752
10,0.2,2,3,CR-SHP,21,200.950211244134,200.950211244134,1,0,0.5,0.0112741,0.0044135
10,0.2,2,3,CVaR-CR-SHP,1,171.858045381741,171.858045381741,1,0,0.5,0.0072856,0.0021178
10,0.2,2,4,CR-SHP,21,221.767807097719,221.767807097719,1,0,0.5,0.0064698,0.0005529
10,0.2,2,4,CVaR-CR-SHP,1,188.313146940418,188.313146940418,1,0,0.5,0.0071609,9.96e-05
10,0.2,2,5,CR-SHP,21,206.261340818057,206.261340818057,1,0,0.5,0.0108304,0.0005006
10,0.2,2,5,CVaR-CR-SHP,1,179.738924781444,179.738924781444,1,0,0.5,0.0172523,0.0003981
10,0.2,2,6,CR-SHP,21,202.7016809404,202.7016809404,1,0,0.5,0.0121413,0.0001488
10,0.2,2,6,CVaR-CR-SHP,1,175.985478971324,175.985478971324,1,0,0.5,0.0144636,0.00011
10,0.2,2,7,CR-SHP,21,207.327418702564,207.327418702564,1,0,0.5,0.021321,0.0001684
10,0.2,2,7,CVaR-CR-SHP,1,176.207144849191,176.207144849191,1,0,0.5,0.0098333,8.2e-05
10,0.2,2,8,CR-SHP,21,216.081497979041,216.081497979041,1,0,0.5,0.0123461,0.0002942
10,0.2,2,8,CVaR-CR-SHP,1,178.014720151739,178.014720151739,1,0,0.5,0.0151719,0.0001018
10,0.5,5,1,CR-SHP,21,411.23036165907,411.23036165907,1,0,0.5,0.0356999,0.0001772
10,0.5,5,1,CVaR-CR-SHP,1,350.090920952047,350.090920952047,1,0,0.5,0.0154065,7.12e-05
10,0.5,5,2,CR-SHP,21,402.864237675135,402.864237675135,1,0,0.5,0.0202694,0.0002161
10,0.5,5,2,CVaR-CR-SHP,1,357.203459809089,357.203459809089,1,0,0.5,0.0104285,7.36e-05
10,0.5,5,3,CR-SHP,21,447.946510046737,445.848050666568,0.995315379552906,0.00468462044709401,0.5,0.0324719,0.0002578
10,0.5,5,3,CVaR-CR-SHP,1,413.982591567466,413.982591567466,1,0,0.5,0.0204671,0.0001018
10,0.5,5,4,CR-SHP,21,492.777246362462,492.777246362462,1,0,0.5,0.0300058,0.0002366
10,0.5,5,4,CVaR-CR-SHP,1,437.873136473045,437.873136473045,1,0,0.5,0.0105924,7.28e-05
