n,gamma,k,seed,testMode,model,trainObj,testMean,cvar10,q05,worst,regretToBest,supportCR,supportTail,selectedCount
100,0.2,20,1,independent,Nominal,2258.23224885508,2258.50247568431,2129.84188759551,2136.83594131055,2006.59000643475,0,201,1,0
100,0.2,20,1,independent,CR-SHP,1975.42888433905,2258.50247568431,2129.84188759551,2136.83594131055,2006.59000643475,0,201,1,0
100,0.2,20,1,independent,CVaR-CR-SHP,1463.29109407027,2258.50247568431,2129.84188759551,2136.83594131055,2006.59000643475,0,201,1,0
100,0.2,20,1,independent,Mixed,1860.76167146267,2258.50247568431,2129.84188759551,2136.83594131055,2006.59000643475,0,201,1,0
100,0.2,20,1,gaussian06,Nominal,2258.23224885508,2128.7356731754,1565.38812469994,1570.09485970916,1463.29109407027,0,201,1,0
100,0.2,20,1,gaussian06,CR-SHP,1975.42888433905,2128.7356731754,1565.38812469994,1570.09485970916,1463.29109407027,0,201,1,0
100,0.2,20,1,gaussian06,CVaR-CR-SHP,1463.29109407027,2128.7356731754,1565.38812469994,1570.09485970916,1463.29109407027,0,201,1,0
100,0.2,20,1,gaussian06,Mixed,1860.76167146267,2128.7356731754,1565.38812469994,1570.09485970916,1463.29109407027,0,201,1,0
100,0.2,20,1,comonotone,Nominal,2258.23224885508,1993.98248079915,1463.29109407027,1463.29109407027,1463.29109407027,0,201,1,0
100,0.2,20,1,comonotone,CR-SHP,1975.42888433905,1993.98248079915,1463.29109407027,1463.29109407027,1463.29109407027,0,201,1,0
100,0.2,20,1,comonotone,CVaR-CR-SHP,1463.29109407027,1993.98248079915,1463.29109407027,1463.29109407027,1463.29109407027,0,201,1,0
100,0.2,20,1,comonotone,Mixed,1860.76167146267,1993.98248079915,1463.29109407027,1463.29109407027,1463.29109407027,0,201,1,0
100,0.2,20,1,t_copula06,Nominal,2258.23224885508,2126.41482420075,1556.68951245629,1556.01718044909,1463.29109407027,0,201,1,0
100,0.2,20,1,t_copula06,CR-SHP,1975.42888433905,2126.41482420075,1556.68951245629,1556.01718044909,1463.29109407027,0,201,1,0
100,0.2,20,1,t_copula06,CVaR-CR-SHP,1463.29109407027,2126.41482420075,1556.68951245629,1556.01718044909,1463.29109407027,0,201,1,0
100,0.2,20,1,t_copula06,Mixed,1860.76167146267,2126.41482420075,1556.68951245629,1556.01718044909,1463.29109407027,0,201,1,0
100,0.2,20,2,independent,Nominal,2244.59471417695,2244.7957413403,2118.24417867849,2124.63750304518,1978.74909556945,0,201,2,0
100,0.2,20,2,independent,CR-SHP,1935.03773652277,2244.7957413403,2118.24417867849,2124.63750304518,1978.74909556945,0,201,2,0
