n,gamma,testMode,model,GroupCount,mean_testMean,mean_cvar10,mean_q05,mean_worst,mean_regretToBest,mean_supportCR,mean_supportTail
100,0.2,comonotone,CR-SHP,10,1986.2862974945,1422.57553566447,1422.57553566447,1422.57553566447,0,201,1.6
100,0.2,comonotone,CVaR-CR-SHP,10,1650.18623826087,1442.11136942434,1442.11136942434,1442.11136942434,336.100059233635,201,1.6
100,0.2,comonotone,Mixed,10,1986.2862974945,1422.57553566447,1422.57553566447,1422.57553566447,0,201,1.6
100,0.2,comonotone,Nominal,10,1986.2862974945,1422.57553566447,1422.57553566447,1422.57553566447,0,201,1.6
100,0.2,gaussian06,CR-SHP,10,2112.43700220211,1543.3202775873,1547.94446467755,1422.57553566447,0,201,1.6
100,0.2,gaussian06,CVaR-CR-SHP,10,1700.09176725324,1482.01113638165,1483.48204461941,1442.11136942434,412.345234948867,201,1.6
100,0.2,gaussian06,Mixed,10,2112.43700220211,1543.3202775873,1547.94446467755,1422.57553566447,0,201,1.6
100,0.2,gaussian06,Nominal,10,2112.43700220211,1543.3202775873,1547.94446467755,1422.57553566447,0,201,1.6
100,0.2,independent,CR-SHP,10,2240.37637775909,2120.29669748561,2128.05623415747,1989.44517750568,0,201,1.6
100,0.2,independent,CVaR-CR-SHP,10,1751.37667732037,1702.70616929938,1705.77986976761,1652.61040544999,488.999700438721,201,1.6
100,0.2,independent,Mixed,10,2240.37637775909,2120.29669748561,2128.05623415747,1989.44517750568,0,201,1.6
100,0.2,independent,Nominal,10,2240.37637775909,2120.29669748561,2128.05623415747,1989.44517750568,0,201,1.6
100,0.2,t_copula06,CR-SHP,10,2119.78167319223,1539.74661652287,1542.95240456357,1422.57553566447,0,201,1.6
100,0.2,t_copula06,CVaR-CR-SHP,10,1702.44279992262,1479.90452451335,1479.98173857831,1442.11136942434,417.338873269617,201,1.6
100,0.2,t_copula06,Mixed,10,2119.78167319223,1539.74661652287,1542.95240456357,1422.57553566447,0,201,1.6
100,0.2,t_copula06,Nominal,10,2119.78167319223,1539.74661652287,1542.95240456357,1422.57553566447,0,201,1.6
100,0.5,comonotone,CR-SHP,10,4451.16116564915,3053.3778630028,3053.3778630028,3053.3778630028,0,201,1.6
100,0.5,comonotone,CVaR-CR-SHP,10,3263.10121585822,3263.10121585821,3263.10121585822,3263.10121585822,1188.05994979093,201,1.6
