n,k,alpha,seed,chainSupport,tailSupport,directValue,truncatedValue,objectiveDiff,relativeDiff,setOverlap,directTime,truncBuildTime,truncatedTime
8,4,0.05,1,17,1,281.948111555687,281.948111555687,0,0,1,0.0308549,0.0032971,0.0203883
8,4,0.05,2,17,1,266.605109542053,266.605109542053,0,0,1,0.0053847,0.0004613,0.0032738
8,4,0.05,3,17,1,345.177923041853,345.177923041853,0,0,1,0.0055848,0.0002945,0.00364
8,4,0.05,4,17,1,362.214734362559,362.214734362559,0,0,1,0.0051031,0.0006723,0.0049904
8,4,0.05,5,17,1,336.056007027231,336.056007027231,0,0,1,0.010154,0.0027123,0.0076622
8,4,0.05,6,17,1,325.20594545965,325.20594545965,0,0,1,0.0088683,0.0001117,0.0034674
8,4,0.05,7,17,1,333.769320730552,333.769320730552,0,0,1,0.0046383,4.89e-05,0.0025147
8,4,0.05,8,17,1,337.363847382337,337.363847382337,0,0,1,0.0047423,3.79e-05,0.0022636
8,4,0.1,1,17,1,281.948111555687,281.948111555687,0,0,1,0.0074663,0.0002679,0.0046593
8,4,0.1,2,17,1,266.605109542053,266.605109542053,0,0,1,0.00439,2.59e-05,0.002228
8,4,0.1,3,17,1,345.177923041853,345.177923041853,0,0,1,0.0042884,1.53e-05,0.0033411
8,4,0.1,4,17,1,362.214734362559,362.214734362559,0,0,1,0.0042733,1.61e-05,0.0022021
8,4,0.1,5,17,1,336.056007027231,336.056007027231,0,0,1,0.004755,2.13e-05,0.0059869
8,4,0.1,6,17,1,325.20594545965,325.20594545965,0,0,1,0.0044077,1.72e-05,0.0037545
8,4,0.1,7,17,1,333.769320730552,333.769320730552,0,0,1,0.0080794,2.5e-05,0.0043345
8,4,0.1,8,17,1,337.363847382337,337.363847382337,0,0,1,0.0080268,2.46e-05,0.004046
8,4,0.2,1,17,1,281.948111555687,281.948111555687,0,0,1,0.0043529,1.88e-05,0.0022713
8,4,0.2,2,17,1,266.605109542053,266.605109542053,0,0,1,0.0106533,4.02e-05,0.0059799
8,4,0.2,3,17,2,345.177923041853,345.177923041853,0,0,1,0.0042763,0.0007554,0.0094657
