n,gamma,k,seed,alpha,beta,testMode,model,trainObj,testMean,cvar10,q05,worst,regretToBest,supportCR,supportTail,selectedCount
60,0.5,30,1,0.45,0.7,independent,Nominal,3251.41491562415,3252.39682772431,2951.93795851679,2958.4780509804,2563.28350706344,0,121,59,0
60,0.5,30,1,0.45,0.7,independent,CR-SHP,2717.17348835336,3252.39682772431,2951.93795851679,2958.4780509804,2563.28350706344,0,121,59,0
60,0.5,30,1,0.45,0.7,independent,CVaR-CR-SHP,1919.37984287257,2859.11549656866,2665.56202305296,2682.29978215082,2263.13700157045,393.281331155653,121,59,10
60,0.5,30,1,0.45,0.7,independent,Mixed,2198.19748749079,3146.28944023891,2874.14995728477,2897.22822050525,2423.8108409444,106.107387485402,121,59,3
60,0.5,30,1,0.45,0.7,gaussian06,Nominal,3251.41491562415,2972.19398626681,1537.78518393932,1520.18137382107,1325.27995533746,0,121,59,0
60,0.5,30,1,0.45,0.7,gaussian06,CR-SHP,2717.17348835336,2972.19398626681,1537.78518393932,1520.18137382107,1325.27995533746,0,121,59,0
60,0.5,30,1,0.45,0.7,gaussian06,CVaR-CR-SHP,1919.37984287257,2654.19756741989,1730.98801987698,1719.88398202583,1572.46030799005,317.996418846926,121,59,10
60,0.5,30,1,0.45,0.7,gaussian06,Mixed,2198.19748749079,2891.6969502302,1626.56247065746,1615.36818484412,1431.01145045164,80.4970360366151,121,59,3
60,0.5,30,1,0.45,0.7,comonotone,Nominal,3251.41491562415,2700.78937018009,1325.27995533746,1325.27995533746,1325.27995533746,0,121,59,0
60,0.5,30,1,0.45,0.7,comonotone,CR-SHP,2717.17348835336,2700.78937018009,1325.27995533746,1325.27995533746,1325.27995533746,0,121,59,0
60,0.5,30,1,0.45,0.7,comonotone,CVaR-CR-SHP,1919.37984287257,2460.34991625061,1572.46030799005,1572.46030799005,1572.46030799005,240.439453929477,121,59,10
60,0.5,30,1,0.45,0.7,comonotone,Mixed,2198.19748749079,2642.93356607162,1431.01145045164,1431.01145045164,1431.01145045164,57.8558041084721,121,59,3
60,0.5,30,1,0.45,0.7,t_copula06,Nominal,3251.41491562415,2983.57014491181,1530.3318239969,1524.38207261186,1325.27995533746,0,121,59,0
60,0.5,30,1,0.45,0.7,t_copula06,CR-SHP,2717.17348835336,2983.57014491181,1530.3318239969,1524.38207261186,1325.27995533746,0,121,59,0
60,0.5,30,1,0.45,0.7,t_copula06,CVaR-CR-SHP,1919.37984287257,2662.10594752099,1726.39944888818,1730.24895514946,1572.46030799005,321.464197390821,121,59,10
60,0.5,30,1,0.45,0.7,t_copula06,Mixed,2198.19748749079,2900.45759045011,1616.8181683865,1616.26022576896,1431.01145045164,83.1125544616993,121,59,3
60,0.5,30,1,0.45,0.7,adverse,Nominal,3251.41491562415,2717.17348835336,1325.27995533746,1325.27995533746,1325.27995533746,0,121,59,0
60,0.5,30,1,0.45,0.7,adverse,CR-SHP,2717.17348835336,2717.17348835336,1325.27995533746,1325.27995533746,1325.27995533746,0,121,59,0
60,0.5,30,1,0.45,0.7,adverse,CVaR-CR-SHP,1919.37984287257,2470.11345226122,1572.46030799005,1572.46030799005,1572.46030799005,247.060036092142,121,59,10
60,0.5,30,1,0.45,0.7,adverse,Mixed,2198.19748749079,2653.72627348148,1431.01145045164,1431.01145045164,1431.01145045164,63.4472148718773,121,59,3
60,0.5,30,2,0.45,0.7,independent,Nominal,3213.8362568541,3203.27023782848,2899.24443168804,2919.84300158965,2506.14969576219,0,121,57,0
60,0.5,30,2,0.45,0.7,independent,CR-SHP,2667.09259948681,3203.27023782848,2899.24443168804,2919.84300158965,2506.14969576219,0,121,57,0
60,0.5,30,2,0.45,0.7,independent,CVaR-CR-SHP,1877.02795099748,2313.69803320529,2224.70296916079,2232.66336974025,2082.37201817722,889.572204623189,121,57,22
60,0.5,30,2,0.45,0.7,independent,Mixed,2138.82883703772,3054.54006059774,2803.53252686587,2820.89220821394,2540.27009621172,148.730177230739,121,57,4
60,0.5,30,2,0.45,0.7,gaussian06,Nominal,3213.8362568541,2914.23001654897,1418.8074150823,1411.86332207184,1220.36898354451,0,121,57,0
60,0.5,30,2,0.45,0.7,gaussian06,CR-SHP,2667.09259948681,2914.23001654897,1418.8074150823,1411.86332207184,1220.36898354451,0,121,57,0
60,0.5,30,2,0.45,0.7,gaussian06,CVaR-CR-SHP,1877.02795099748,2217.3394594943,1808.08253925608,1808.2716177936,1736.94110412935,696.890557054668,121,57,22
60,0.5,30,2,0.45,0.7,gaussian06,Mixed,2138.82883703772,2797.71320885602,1532.17769916013,1527.3646681822,1347.17225638163,116.516807692953,121,57,4
60,0.5,30,2,0.45,0.7,comonotone,Nominal,3213.8362568541,2669.48125067989,1220.36898354451,1220.36898354451,1220.36898354451,0,121,57,0
60,0.5,30,2,0.45,0.7,comonotone,CR-SHP,2667.09259948681,2669.48125067989,1220.36898354451,1220.36898354451,1220.36898354451,0,121,57,0
60,0.5,30,2,0.45,0.7,comonotone,CVaR-CR-SHP,1877.02795099748,2110.93192402099,1736.94110412935,1736.94110412935,1736.94110412935,558.549326658899,121,57,22
60,0.5,30,2,0.45,0.7,comonotone,Mixed,2138.82883703772,2575.83487451336,1347.17225638163,1347.17225638163,1347.17225638163,93.6463761665273,121,57,4
60,0.5,30,2,0.45,0.7,t_copula06,Nominal,3213.8362568541,2922.08843049696,1419.34282544221,1427.4707647813,1220.36898354451,0,121,57,0
60,0.5,30,2,0.45,0.7,t_copula06,CR-SHP,2667.09259948681,2922.08843049696,1419.34282544221,1427.4707647813,1220.36898354451,0,121,57,0
60,0.5,30,2,0.45,0.7,t_copula06,CVaR-CR-SHP,1877.02795099748,2222.22325805803,1813.03920627112,1810.95423105418,1736.94110412935,699.865172438931,121,57,22
