testMode,model,GroupCount,mean_testMean,mean_cvar10,mean_q05,mean_worst,mean_regretToBest,mean_selectedCount,mean_supportTail
adverse,CR-SHP,10,2849.95838095829,2156.6090144097,2156.6090144097,2156.6090144097,0,15.3,108.1
adverse,CVaR-CR-SHP,10,2783.76905498886,2662.02713403967,2662.02713403967,2662.02713403967,66.1893259694343,27.5,108.1
adverse,Mixed,10,2835.87734478312,2425.84634923887,2425.84634923887,2425.84634923887,14.0810361751709,21.3,108.1
adverse,Nominal,10,2791.25351836627,1533.5190278056,1533.5190278056,1533.5190278056,58.7048625920193,3.7,108.1
comonotone,CR-SHP,10,2866.70604637562,2156.6090144097,2156.6090144097,2156.6090144097,0,15.3,108.1
comonotone,CVaR-CR-SHP,10,2787.49146461668,2662.02713403967,2662.02713403967,2662.02713403967,79.2145817589367,27.5,108.1
comonotone,Mixed,10,2845.8736884334,2425.84634923887,2425.84634923887,2425.84634923887,20.8323579422215,21.3,108.1
comonotone,Nominal,10,2813.22330700438,1533.5190278056,1533.5190278056,1533.5190278056,53.4827393712424,3.7,108.1
gaussian06,CR-SHP,10,3033.55118020924,2270.69084510798,2266.59589656432,2156.6090144097,15.4732876806426,15.3,108.1
gaussian06,CVaR-CR-SHP,10,2832.51259909398,2700.38799917347,2703.63173572276,2662.02713403967,216.5118687959,27.5,108.1
gaussian06,Mixed,10,2966.29845337524,2507.81445601117,2506.38287280539,2425.84634923887,82.7260145146402,21.3,108.1
gaussian06,Nominal,10,3047.76217811298,1709.86976469018,1702.94368771307,1533.5190278056,1.26228977690498,3.7,108.1
independent,CR-SHP,10,3205.4795905453,3031.4851510337,3044.82103190628,2838.15618526625,103.25593735645,15.3,108.1
independent,CVaR-CR-SHP,10,2859.91465823148,2830.92542235727,2833.10789493186,2798.25638941958,448.820869670274,27.5,108.1
independent,Mixed,10,3074.69738607876,2976.86534606458,2984.84257516674,2841.07768872999,234.038141822991,21.3,108.1
independent,Nominal,10,3308.73552790175,3022.92831245535,3042.39300434972,2711.94634259122,0,3.7,108.1
t_copula06,CR-SHP,10,3036.64007725504,2265.17469978676,2262.74072768424,2156.6090144097,14.7677028946854,15.3,108.1
t_copula06,CVaR-CR-SHP,10,2833.50324447964,2699.675526505,2704.29051772332,2662.02713403967,217.904535670086,27.5,108.1
t_copula06,Mixed,10,2969.50782590381,2504.33602475206,2502.5560486908,2425.84634923887,81.8999542459183,21.3,108.1
t_copula06,Nominal,10,3049.62741715425,1699.45803007743,1692.48449283165,1533.5190278056,1.7803629954703,3.7,108.1
