n,gamma,k,seed,testMode,model,trainObj,testMean,cvar10,q05,worst,regretToBest,supportCR,supportTail,selectedCount
60,0.2,12,1,independent,Nominal,1518.41661753539,1519.01047027806,1431.44779451537,1436.54336657786,1334.58061521753,0,121,1,0
60,0.2,12,1,independent,CR-SHP,1242.30645293624,1519.01047027806,1431.44779451537,1436.54336657786,1334.58061521753,0,121,1,0
60,0.2,12,1,independent,CVaR-CR-SHP,1093.30948696051,1093.30948696052,1093.30948696051,1093.30948696051,1093.30948696051,425.700983317541,121,1,12
60,0.2,12,1,independent,Mixed,1143.65049832447,1356.00424751353,1294.48675624205,1297.11909549902,1244.06668203284,163.006222764533,121,1,6
60,0.2,12,1,gaussian06,Nominal,1518.41661753539,1400.31849463576,810.671316510607,816.124539097216,679.25352963084,0,121,1,0
60,0.2,12,1,gaussian06,CR-SHP,1242.30645293624,1400.31849463576,810.671316510607,816.124539097216,679.25352963084,0,121,1,0
60,0.2,12,1,gaussian06,CVaR-CR-SHP,1093.30948696051,1093.30948696052,1093.30948696051,1093.30948696051,1093.30948696051,307.009007675236,121,1,12
60,0.2,12,1,gaussian06,Mixed,1143.65049832447,1296.68623881105,995.288082107917,996.469062342549,932.015085622836,103.632255824706,121,1,6
60,0.2,12,1,comonotone,Nominal,1518.41661753539,1267.17368857786,679.253529630841,679.25352963084,679.25352963084,0,121,1,0
60,0.2,12,1,comonotone,CR-SHP,1242.30645293624,1267.17368857786,679.253529630841,679.25352963084,679.25352963084,0,121,1,0
60,0.2,12,1,comonotone,CVaR-CR-SHP,1093.30948696051,1093.30948696052,1093.30948696051,1093.30948696051,1093.30948696051,173.86420161734,121,1,12
60,0.2,12,1,comonotone,Mixed,1143.65049832447,1210.37655185567,932.015085622838,932.015085622836,932.015085622836,56.797136722189,121,1,6
60,0.2,12,1,t_copula06,Nominal,1518.41661753539,1407.03340749133,807.609109289148,810.111823665355,679.25352963084,0,121,1,0
60,0.2,12,1,t_copula06,CR-SHP,1242.30645293624,1407.03340749133,807.609109289148,810.111823665355,679.25352963084,0,121,1,0
60,0.2,12,1,t_copula06,CVaR-CR-SHP,1093.30948696051,1093.30948696052,1093.30948696051,1093.30948696051,1093.30948696051,313.723920530813,121,1,12
60,0.2,12,1,t_copula06,Mixed,1143.65049832447,1300.81136642564,995.708317479844,996.480237062627,932.015085622836,106.222041065692,121,1,6
60,0.2,12,1,adverse,Nominal,1518.41661753539,1242.30645293624,679.25352963084,679.25352963084,679.25352963084,0,121,1,0
60,0.2,12,1,adverse,CR-SHP,1242.30645293624,1242.30645293624,679.25352963084,679.25352963084,679.25352963084,0,121,1,0
60,0.2,12,1,adverse,CVaR-CR-SHP,1093.30948696051,1093.30948696051,1093.30948696051,1093.30948696051,1093.30948696051,148.996965975734,121,1,12
60,0.2,12,1,adverse,Mixed,1143.65049832447,1196.90771649617,932.015085622836,932.015085622836,932.015085622836,45.3987364400787,121,1,6
60,0.2,12,2,independent,Nominal,1528.02049525056,1527.56727199609,1419.3099337446,1427.51801675829,1307.39905382516,0,121,1,0
60,0.2,12,2,independent,CR-SHP,1224.86822330395,1527.56727199609,1419.3099337446,1427.51801675829,1307.39905382516,0,121,1,0
60,0.2,12,2,independent,CVaR-CR-SHP,1096.03170868932,1096.0317086893,1096.03170868932,1096.03170868932,1096.03170868932,431.535563306785,121,1,12
60,0.2,12,2,independent,Mixed,1123.56688339274,1240.27076150347,1213.70960416352,1215.6259896969,1181.14442294423,287.296510492622,121,1,9
60,0.2,12,2,gaussian06,Nominal,1528.02049525056,1388.61429241367,745.553277445811,752.328685874695,598.594005587608,0,121,1,0
60,0.2,12,2,gaussian06,CR-SHP,1224.86822330395,1388.61429241367,745.553277445811,752.328685874695,598.594005587608,0,121,1,0
60,0.2,12,2,gaussian06,CVaR-CR-SHP,1096.03170868932,1096.0317086893,1096.03170868932,1096.03170868932,1096.03170868932,292.582583724372,121,1,12
60,0.2,12,2,gaussian06,Mixed,1123.56688339274,1211.82927687024,1066.30772289098,1073.11610421132,1006.43399707099,176.785015543438,121,1,9
60,0.2,12,2,comonotone,Nominal,1528.02049525056,1220.60925906979,598.594005587607,598.594005587608,598.594005587608,0,121,1,0
60,0.2,12,2,comonotone,CR-SHP,1224.86822330395,1220.60925906979,598.594005587607,598.594005587608,598.594005587608,0,121,1,0
