n,gamma,testMode,model,GroupCount,mean_testMean,mean_cvar10,mean_q05,mean_worst,mean_regretToBest,mean_supportCR,mean_supportTail
60,0.2,adverse,CR-SHP,8,1251.25800136161,662.368086812456,662.368086812456,662.368086812456,0,121,1
60,0.2,adverse,CVaR-CR-SHP,8,1094.63571248176,1094.63571248176,1094.63571248176,1094.63571248176,156.622288879851,121,1
60,0.2,adverse,Mixed,8,1207.51061135905,914.957222223518,914.957222223518,914.957222223518,43.7473900025624,121,1
60,0.2,adverse,Nominal,8,1251.25800136161,662.368086812456,662.368086812456,662.368086812456,0,121,1
60,0.2,comonotone,CR-SHP,8,1258.67380887953,662.368086812456,662.368086812456,662.368086812456,0,121,1
60,0.2,comonotone,CVaR-CR-SHP,8,1094.63571248176,1094.63571248176,1094.63571248176,1094.63571248176,164.038096397767,121,1
60,0.2,comonotone,Mixed,8,1213.16539589087,914.957222223517,914.957222223518,914.957222223518,45.5084129886532,121,1
60,0.2,comonotone,Nominal,8,1258.67380887953,662.368086812456,662.368086812456,662.368086812456,0,121,1
60,0.2,gaussian06,CR-SHP,8,1430.31838545462,790.864325301677,793.275466368422,662.368086812456,0,121,1
60,0.2,gaussian06,CVaR-CR-SHP,8,1094.63571248176,1094.63571248176,1094.63571248176,1094.63571248176,335.682672972856,121,1
60,0.2,gaussian06,Mixed,8,1319.65514035014,986.496380689949,987.815742399916,914.957222223518,110.66324510448,121,1
60,0.2,gaussian06,Nominal,8,1430.31838545462,790.864325301677,793.275466368422,662.368086812456,0,121,1
60,0.2,independent,CR-SHP,8,1580.09492909275,1468.07096721879,1477.0931113735,1322.80517625023,0,121,1
60,0.2,independent,CVaR-CR-SHP,8,1094.63571248176,1094.63571248176,1094.63571248176,1094.63571248176,485.459216610988,121,1
60,0.2,independent,Mixed,8,1396.58286759444,1333.70710388346,1338.61890556321,1250.38860814861,183.512061498307,121,1
60,0.2,independent,Nominal,8,1580.09492909275,1468.07096721879,1477.0931113735,1322.80517625023,0,121,1
60,0.2,t_copula06,CR-SHP,8,1437.73623625328,793.408446130401,792.827789640413,662.368086812456,0,121,1
60,0.2,t_copula06,CVaR-CR-SHP,8,1094.63571248176,1094.63571248176,1094.63571248176,1094.63571248176,343.100523771524,121,1
60,0.2,t_copula06,Mixed,8,1323.77206600128,989.493778008062,991.162925433238,914.957222223518,113.964170252006,121,1
60,0.2,t_copula06,Nominal,8,1437.73623625328,793.408446130401,792.827789640413,662.368086812456,0,121,1
60,0.5,adverse,CR-SHP,8,2757.81129077891,1478.4385576446,1478.4385576446,1478.4385576446,0,121,1
60,0.5,adverse,CVaR-CR-SHP,8,2476.0353451745,2476.0353451745,2476.0353451745,2476.0353451745,281.77594560441,121,1
60,0.5,adverse,Mixed,8,2644.08872188137,2235.89462547672,2235.89462547672,2235.89462547672,113.722568897545,121,1
60,0.5,adverse,Nominal,8,2753.85360219265,1324.72218522548,1324.72218522548,1324.72218522548,3.95768858625763,121,1
60,0.5,comonotone,CR-SHP,8,2768.38042382987,1478.4385576446,1478.4385576446,1478.4385576446,0,121,1
60,0.5,comonotone,CVaR-CR-SHP,8,2476.03534517448,2476.0353451745,2476.0353451745,2476.0353451745,292.345078655385,121,1
60,0.5,comonotone,Mixed,8,2654.02173510118,2235.89462547672,2235.89462547672,2235.89462547672,114.358688728692,121,1
60,0.5,comonotone,Nominal,8,2764.13664001231,1324.72218522548,1324.72218522548,1324.72218522548,4.24378381756338,121,1
60,0.5,gaussian06,CR-SHP,8,2998.95472225964,1658.71500510282,1659.83546592351,1478.4385576446,10.7138986062553,121,1
60,0.5,gaussian06,CVaR-CR-SHP,8,2476.03534517448,2476.0353451745,2476.0353451745,2476.0353451745,533.633275691408,121,1
60,0.5,gaussian06,Mixed,8,2780.10864462399,2304.15215490078,2303.37525455602,2235.89462547672,229.559976241901,121,1
60,0.5,gaussian06,Nominal,8,3009.66862086589,1520.94846758764,1519.68418065986,1324.72218522548,0,121,1
60,0.5,independent,CR-SHP,8,3265.62364246203,2981.84864064015,3000.44006060756,2647.45658967133,30.5297912117074,121,1
60,0.5,independent,CVaR-CR-SHP,8,2476.03534517448,2476.0353451745,2476.0353451745,2476.0353451745,820.118088499251,121,1
60,0.5,independent,Mixed,8,2901.6504337494,2784.23206302776,2793.92187572477,2627.49397830357,394.502999924333,121,1
60,0.5,independent,Nominal,8,3296.15343367373,2987.0013718887,3006.04380689992,2634.7656922251,0,121,1
60,0.5,t_copula06,CR-SHP,8,3012.63070323215,1656.20799323992,1652.27061608855,1478.4385576446,12.1666692743265,121,1
60,0.5,t_copula06,CVaR-CR-SHP,8,2476.03534517448,2476.0353451745,2476.0353451745,2476.0353451745,548.762027331991,121,1
60,0.5,t_copula06,Mixed,8,2788.28486405089,2305.87484549484,2305.58932983282,2235.89462547672,236.512508455581,121,1
60,0.5,t_copula06,Nominal,8,3024.79737250648,1518.90359515345,1513.74472918102,1324.72218522548,0,121,1
100,0.2,adverse,CR-SHP,8,2099.51729806298,1154.92618431841,1154.92618431841,1154.92618431841,0,201,1
100,0.2,adverse,CVaR-CR-SHP,8,1812.40066380866,1812.40066380866,1812.40066380866,1812.40066380866,287.116634254328,201,1
100,0.2,adverse,Mixed,8,2055.36748337423,1430.52930495803,1430.52930495803,1430.52930495803,44.1498146887544,201,1
100,0.2,adverse,Nominal,8,2099.51729806298,1154.92618431841,1154.92618431841,1154.92618431841,0,201,1
100,0.2,comonotone,CR-SHP,8,2122.01621859906,1154.92618431841,1154.92618431841,1154.92618431841,0,201,1
100,0.2,comonotone,CVaR-CR-SHP,8,1812.40066380865,1812.40066380866,1812.40066380866,1812.40066380866,309.615554790411,201,1
100,0.2,comonotone,Mixed,8,2073.05941311616,1430.52930495803,1430.52930495803,1430.52930495803,48.9568054828983,201,1
100,0.2,comonotone,Nominal,8,2122.01621859906,1154.92618431841,1154.92618431841,1154.92618431841,0,201,1
100,0.2,gaussian06,CR-SHP,8,2409.01338370784,1345.11252433721,1343.03724802917,1154.92618431841,0,201,1
100,0.2,gaussian06,CVaR-CR-SHP,8,1812.40066380865,1812.40066380866,1812.40066380866,1812.40066380866,596.612719899194,201,1
