beta,alpha,seed,model,selectedCount,tailSupport,testMean,cvar10,q05,worst
0.6,0.3,1,Nominal,0,24,2552.0984485186,1292.59280505176,1293.29726334806,1104.75648370972
0.6,0.3,1,CR-SHP,0,24,2552.0984485186,1292.59280505176,1293.29726334806,1104.75648370972
0.6,0.3,1,CVaR-CR-SHP,25,24,1317.91566981967,1317.91566981967,1317.91566981967,1317.91566981967
0.6,0.3,1,Mixed,0,24,2552.0984485186,1292.59280505176,1293.29726334806,1104.75648370972
0.6,0.3,2,Nominal,0,17,2457.66142079892,1211.44492763778,1206.88823492476,1073.1417001145
0.6,0.3,2,CR-SHP,0,17,2457.66142079892,1211.44492763778,1206.88823492476,1073.1417001145
0.6,0.3,2,CVaR-CR-SHP,25,17,1277.15699058722,1277.15699058722,1277.15699058722,1277.15699058722
0.6,0.3,2,Mixed,0,17,2457.66142079892,1211.44492763778,1206.88823492476,1073.1417001145
0.6,0.3,3,Nominal,0,27,2466.83141333064,1245.97621991441,1232.92979213005,1134.76585907482
0.6,0.3,3,CR-SHP,0,27,2466.83141333064,1245.97621991441,1232.92979213005,1134.76585907482
0.6,0.3,3,CVaR-CR-SHP,0,27,2466.83141333064,1245.97621991441,1232.92979213005,1134.76585907482
0.6,0.3,3,Mixed,0,27,2466.83141333064,1245.97621991441,1232.92979213005,1134.76585907482
0.6,0.35,1,Nominal,0,31,2552.0984485186,1292.59280505176,1293.29726334806,1104.75648370972
0.6,0.35,1,CR-SHP,0,31,2552.0984485186,1292.59280505176,1293.29726334806,1104.75648370972
0.6,0.35,1,CVaR-CR-SHP,0,31,2552.0984485186,1292.59280505176,1293.29726334806,1104.75648370972
0.6,0.35,1,Mixed,0,31,2552.0984485186,1292.59280505176,1293.29726334806,1104.75648370972
0.6,0.35,2,Nominal,0,28,2457.66142079892,1211.44492763778,1206.88823492476,1073.1417001145
0.6,0.35,2,CR-SHP,0,28,2457.66142079892,1211.44492763778,1206.88823492476,1073.1417001145
0.6,0.35,2,CVaR-CR-SHP,25,28,1277.15699058722,1277.15699058722,1277.15699058722,1277.15699058722
0.6,0.35,2,Mixed,0,28,2457.66142079892,1211.44492763778,1206.88823492476,1073.1417001145
0.6,0.35,3,Nominal,0,37,2466.83141333064,1245.97621991441,1232.92979213005,1134.76585907482
0.6,0.35,3,CR-SHP,0,37,2466.83141333064,1245.97621991441,1232.92979213005,1134.76585907482
0.6,0.35,3,CVaR-CR-SHP,0,37,2466.83141333064,1245.97621991441,1232.92979213005,1134.76585907482
0.6,0.35,3,Mixed,0,37,2466.83141333064,1245.97621991441,1232.92979213005,1134.76585907482
0.6,0.4,1,Nominal,0,39,2552.0984485186,1292.59280505176,1293.29726334806,1104.75648370972
0.6,0.4,1,CR-SHP,0,39,2552.0984485186,1292.59280505176,1293.29726334806,1104.75648370972
0.6,0.4,1,CVaR-CR-SHP,0,39,2552.0984485186,1292.59280505176,1293.29726334806,1104.75648370972
0.6,0.4,1,Mixed,0,39,2552.0984485186,1292.59280505176,1293.29726334806,1104.75648370972
0.6,0.4,2,Nominal,0,37,2457.66142079892,1211.44492763778,1206.88823492476,1073.1417001145
0.6,0.4,2,CR-SHP,0,37,2457.66142079892,1211.44492763778,1206.88823492476,1073.1417001145
0.6,0.4,2,CVaR-CR-SHP,0,37,2457.66142079892,1211.44492763778,1206.88823492476,1073.1417001145
0.6,0.4,2,Mixed,0,37,2457.66142079892,1211.44492763778,1206.88823492476,1073.1417001145
